r,t,f,y,UseByTechnologyAnnual
RE1,DEMTRACARELC,ELCEV,2063,17.6933
RE1,DEMTRACARELC,ELCEV,2064,35.3749
RE1,DEMTRACARELC,ELCEV,2065,37.8762
RE1,DEMTRACARELC,ELCEV,2066,27.908
RE1,DEMTRACARELC,ELCEV,2067,29.8202
RE1,DEMTRACARELC,ELCEV,2068,49.4328
RE1,DEMTRACARELC,ELCEV,2069,29.1515
RE1,DEMTRACARELC,ELCEV,2070,71.8656
RE1,DEMTRACARGSL,LFO,2015,76.3015
RE1,DEMTRACARGSL,LFO,2016,80.3865
RE1,DEMTRACARGSL,LFO,2017,84.6905
RE1,DEMTRACARGSL,LFO,2018,89.225
RE1,DEMTRACARGSL,LFO,2019,94.0025
RE1,DEMTRACARGSL,LFO,2020,99.0355
RE1,DEMTRACARGSL,LFO,2021,102.8346
RE1,DEMTRACARGSL,LFO,2022,106.7496
RE1,DEMTRACARGSL,LFO,2023,110.7856
RE1,DEMTRACARGSL,LFO,2024,114.9485
RE1,DEMTRACARGSL,LFO,2025,119.2438
RE1,DEMTRACARGSL,LFO,2026,123.5529
RE1,DEMTRACARGSL,LFO,2027,128.0019
RE1,DEMTRACARGSL,LFO,2028,132.5964
RE1,DEMTRACARGSL,LFO,2029,137.3424
RE1,DEMTRACARGSL,LFO,2030,142.246
RE1,DEMTRACARGSL,LFO,2031,122.7144
RE1,DEMTRACARGSL,LFO,2032,102.5964
RE1,DEMTRACARGSL,LFO,2033,82.6932
RE1,DEMTRACARGSL,LFO,2034,62.9931
RE1,DEMTRACARGSL,LFO,2035,50.5452
RE1,DEMTRACARGSL,LFO,2036,33.538
RE1,DEMTRACARGSL,LFO,2037,16.6875
RE1,DEMTRAEVC,ELC003,2021,5.706
RE1,DEMTRAEVC,ELC003,2022,11.4119
RE1,DEMTRAEVC,ELC003,2023,16.9789
RE1,DEMTRAEVC,ELC003,2024,22.7158
RE1,DEMTRAEVC,ELC003,2025,28.5298
RE1,DEMTRAEVC,ELC003,2026,30.4459
RE1,DEMTRAEVC,ELC003,2027,31.5422
RE1,DEMTRAEVC,ELC003,2028,32.6744
RE1,DEMTRAEVC,ELC003,2029,33.8439
RE1,DEMTRAEVC,ELC003,2030,35.0522
RE1,DEMTRAEVC,ELC003,2031,40.9429
RE1,DEMTRAEVC,ELC003,2032,47.0911
RE1,DEMTRAEVC,ELC003,2033,53.2921
RE1,DEMTRAEVC,ELC003,2034,59.5433
RE1,DEMTRAEVC,ELC003,2035,67.5815
RE1,DEMTRAEVC,ELC003,2036,74.801
RE1,DEMTRAEVC,ELC003,2037,85.6567
RE1,DEMTRAEVC,ELC003,2038,123.1556
RE1,DEMTRAEVC,ELC003,2039,123.5178
RE1,DEMTRAEVC,ELC003,2040,118.2081
